Time,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
12/5 ~ 12/15,New Orleans Pelicans,5,3,2,0.6,48,113.8,43,87.8,49,9.6,26.4,36.4,18.2,23.2,78.4,9.2,36.8,46,29,15.8,9.4,4.6,5.4,21,22.4,4.2,110.7,107.5,3.2,67.4,1.84,20.2,25.4,72.7,50.2,15.4,54.4,58.1,102.4,54.2
12/5 ~ 12/15,New York Knicks,5,1,4,0.2,49,108.6,41.4,91.8,45.1,11.2,29.6,37.8,14.6,20.4,71.6,9.8,33.6,43.4,23.8,13.8,7,4.8,4.8,20,21.4,-10.6,105.8,115.3,-9.4,57.5,1.72,17.1,24.6,73,47.7,13.5,51.2,53.9,100.9,44.5
12/5 ~ 12/15,Oklahoma City Thunder,6,3,3,0.5,48,111.7,41.7,90.8,45.9,10,28.5,35.1,18.3,28.2,65.1,13.3,32.7,46,23.5,16,10.7,5.2,4.5,22.5,25.2,0,106.9,106.9,0,56.4,1.47,16.3,30.4,73.9,50.5,15.3,51.4,54.1,104.5,48.5
12/5 ~ 12/15,Orlando Magic,5,2,3,0.4,49,95.4,36.2,85.4,42.4,11.6,33.4,34.7,11.4,13.8,82.6,7,37,44,21.8,16,6,5.8,4.4,20.4,17.8,-8,95.6,103.8,-8.2,60.2,1.36,16.6,21,81.1,50.5,16,49.2,52.1,97.67,44.7
12/5 ~ 12/15,Philadelphia 76ers,5,2,3,0.4,48,112,41.8,89,47,11.2,33.6,33.3,17.2,22.6,76.1,13.2,31.4,44.6,25.4,16.8,8.6,6,2.8,24.2,21.2,-1.2,111.1,111.4,-0.3,60.8,1.51,18,30.4,66.9,48.7,16.7,53.3,56.6,101.2,48.4
12/5 ~ 12/15,Phoenix Suns,6,2,4,0.333,48.8,99.2,38.2,88,43.4,9.2,28.2,32.5,13.7,17,80.4,9.3,33,42.3,24.5,16.5,10,5.2,4.2,23.7,18.2,-8.3,99.3,107.5,-8.2,64.2,1.48,17.9,25.2,70.9,47.4,16.5,48.6,51.9,98.21,45
12/5 ~ 12/15,Portland Trail Blazers,5,3,2,0.6,48,107.2,39.6,87.2,45.4,9.6,26.8,35.8,18.4,23,80,11.2,35.8,47,22.2,14.6,8.4,6.4,5.6,18,21.6,4,109.4,105.7,3.7,56.1,1.52,16.3,32.5,75.3,53.8,14.9,50.9,55.1,97.8,52.9
12/5 ~ 12/15,Sacramento Kings,5,3,2,0.6,48,120,45.8,91.6,50,14.4,36,40,14,18.8,74.5,9.6,30.4,40,30,13,8,5.2,3,20.6,19.6,6.8,117.2,110.8,6.4,65.5,2.31,20.7,27,68.1,47.4,12.7,57.9,60.1,102.3,53.4
12/5 ~ 12/15,San Antonio Spurs,6,4,2,0.667,48,114.2,42.8,85.8,49.9,9.2,22.7,40.4,19.3,22.3,86.6,8.8,37.3,46.2,23.7,12.2,6.5,5,3.7,18.3,19.5,12.7,115.7,102.7,13,55.3,1.95,17.8,24.3,74.6,51.5,12.3,55.2,59.7,98.75,58.4
12/5 ~ 12/15,Toronto Raptors,6,3,3,0.5,48.8,112.5,42.3,91.3,46.4,12.5,32.7,38.3,15.3,18.3,83.6,10,34.5,44.5,25.8,12.3,8.5,5.7,5.7,18.8,18.8,7.2,111.8,104.8,6.9,61,2.09,18.5,26.6,72.1,49.3,12.3,53.2,56.6,98.87,53.1
